epoch, train_loss, val_loss, train_dice, val_dice, train_iou, val_iou
1,0.9767,0.9675,0.2093,0.4032,0.1224,0.2542
2,0.9505,0.9254,0.4042,0.5213,0.257,0.354
3,0.8798,0.8164,0.557,0.663,0.391,0.498
4,0.7161,0.5923,0.7071,0.7844,0.553,0.647
5,0.4796,0.3684,0.8104,0.8438,0.6857,0.7324
6,0.295,0.2336,0.8476,0.857,0.738,0.7521
7,0.1996,0.1789,0.8631,0.8608,0.7613,0.758
8,0.1588,0.1487,0.8699,0.8694,0.7717,0.7712
9,0.1349,0.1322,0.8787,0.8769,0.7855,0.7826
10,0.1243,0.1244,0.8828,0.8805,0.7917,0.7887
11,0.1174882328593647,0.1169960800584379,0.8864256682271153,0.8857735405435095,0.7981006741907476,0.796527317979119
12,0.114753244660951,0.1155024704399642,0.8878002326133618,0.8864816624801476,0.8002286808844463,0.7976660346234595
13,0.1067929170140019,0.1125069838303786,0.8950120414551447,0.88894116386667,0.8114702549928677,0.8016125948279054
14,0.1035644074003179,0.1093250699810214,0.8978618172915666,0.8916712340775069,0.8159398649747555,0.8058842056697899
15,0.0988841593682349,0.1041429276232952,0.9022692125577192,0.8969937681318163,0.8229403103356595,0.8145786109920982
16,0.09815398656821751,0.10280493881318953,0.9032048774214806,0.8981089537793939,0.8249270773299839,0.8163600970398296
17,0.09391033370178063,0.1032164163522787,0.9069630356935354,0.8975156999968149,0.8306888104006127,0.8153543964132562
18,0.09249648487234449,0.10028951376468151,0.9082977925772433,0.9003514761691327,0.8330274058753377,0.8198939575181975
19,0.0913611544178916,0.10051383238572341,0.9093878762398897,0.9000768894915814,0.8350376642048273,0.8195379483533072
20,0.0875542162390022,0.09549127558728199,0.913129404932779,0.9050322882778995,0.8413844827750112,0.8276426415343384
21,0.08805669410662217,0.10016650453314081,0.9126074662843027,0.9003073799860227,0.8406353453559134,0.819958191985017
22,0.08694714405736723,0.09479701527348765,0.9136842760134525,0.9056978544988832,0.8423451599607216,0.8287928745463178
23,0.08312098379735347,0.09454451049124445,0.9174771091946355,0.9059621884272648,0.8482765566323187,0.8292251006289796
24,0.08496251712729047,0.0917508973108305,0.9159828978028148,0.9087732039965116,0.8463452723675908,0.8338690504744336
25,0.08208435465405871,0.08987661958574415,0.918473529607266,0.9107294353571805,0.850109762432692,0.8370476377593887
26,0.07940981654854087,0.09174800052509441,0.9214672441249128,0.908676158548235,0.8549852712379469,0.833718449419195
27,0.07902492559873141,0.08987638041689679,0.9214777961060717,0.9105772040940665,0.855096347869693,0.8368079195489416
28,0.0781348534397312,0.08886024084958163,0.9223602032119578,0.9114692243662748,0.8566398531302706,0.8383459048254507
29,0.07685291846315344,0.08704540679504821,0.9236221007291849,0.9133309015860924,0.8589850999225032,0.8414924857499716
30,0.0784419667887521,0.08599568897193963,0.9220370716856514,0.9144293457478077,0.8567099829893033,0.8433122081356449
31,0.0741058345441218,0.08678178645514108,0.9263373769714849,0.9136178768598117,0.8636506462482039,0.8419150257444048
32,0.0743106465031217,0.08624686694645381,0.926484048394795,0.9141427322701141,0.8639122527870148,0.842825883710301
33,0.07288425946152294,0.08662643357590362,0.9275348883617175,0.9137166391719471,0.8654318169280366,0.8421148534421321
34,0.0739634102249479,0.08354608779186969,0.9268096517766173,0.9168578695584011,0.8646662563002094,0.8474528628212589
35,0.07053818815237993,0.08415627437871653,0.9298666387587994,0.9162407820041363,0.8695385055316912,0.8463420212685645
